U+2A919	𪤙	gmbf
U+2A91A	𪤚	gsjk
U+2A91B	𪤛	ghuu
U+2A91C	𪤜	ysgi
U+2A91D	𪤝	nhg
U+2A91E	𪤞	gnkq
U+2A91F	𪤟	jsg
U+2A920	𪤠	gmbw
U+2A921	𪤡	gtwt
U+2A922	𪤢	grrd
U+2A923	𪤣	gomp
U+2A924	𪤤	gife,gmfe
U+2A925	𪤥	gytp
U+2A926	𪤦	gibf
U+2A927	𪤧	ghxc
U+2A928	𪤨	ghul,ghut
U+2A929	𪤩	gnbe
U+2A92A	𪤪	gyx
U+2A92B	𪤫	guce
U+2A92C	𪤬	mrmrg
U+2A92D	𪤭	gymu
U+2A92E	𪤮	gjkf
U+2A92F	𪤯	gyrq
U+2A930	𪤰	gmbd
U+2A931	𪤱	togrt
U+2A932	𪤲	ghnl
U+2A933	𪤳	gnri
U+2A934	𪤴	gtcmt,gttct
U+2A935	𪤵	heulr
U+2A936	𪤶	mmgce
U+2A937	𪤷	nilb
U+2A938	𪤸	niynl
U+2A939	𪤹	nifd
U+2A93A	𪤺	nnmys
U+2A93B	𪤻	nndhe
U+2A93C	𪤼	niiil
U+2A93D	𪤽	genin
U+2A93E	𪤾	nijjb
U+2A93F	𪤿	nngwg
U+2A940	𪥀	idnin
U+2A941	𪥁	kn
U+2A942	𪥂	ksh
U+2A943	𪥃	qomn
U+2A944	𪥄	dk
U+2A945	𪥅	ki
U+2A946	𪥆	kce
U+2A947	𪥇	mbk
U+2A948	𪥈	kmfj
U+2A949	𪥉	mkau
U+2A94A	𪥊	jdk
U+2A94B	𪥋	kjd
U+2A94C	𪥌	hbk
U+2A94D	𪥍	kmlu,kmlv
U+2A94E	𪥎	sgk
U+2A94F	𪥏	kyso
U+2A950	𪥐	qkylb
U+2A951	𪥑	kfnhs
U+2A952	𪥒	rok
U+2A953	𪥓	kmbg
U+2A954	𪥔	jmk
U+2A955	𪥕	ksuu
U+2A956	𪥖	ask
U+2A957	𪥗	tbnk
U+2A958	𪥘	yrk
U+2A959	𪥙	ommk
U+2A95A	𪥚	ksrhu
U+2A95B	𪥛	yuk
U+2A95C	𪥜	krrb
U+2A95D	𪥝	hsk
U+2A95E	𪥞	ttk
U+2A95F	𪥟	ggk
U+2A960	𪥠	bobok
U+2A961	𪥡	nok
U+2A962	𪥢	ffk
U+2A963	𪥣	bktyu,bktyv
U+2A964	𪥤	ymv
U+2A965	𪥥	von
U+2A966	𪥦	vmvm
U+2A967	𪥧	vylm
U+2A968	𪥨	va
U+2A969	𪥩	vye
U+2A96A	𪥪	vhnn
U+2A96B	𪥫	vee
U+2A96C	𪥬	vihu
U+2A96D	𪥭	vumn
U+2A96E	𪥮	vla
U+2A96F	𪥯	nnve
U+2A970	𪥰	vjmn
U+2A971	𪥱	vdb
U+2A972	𪥲	vhie
U+2A973	𪥳	vrlb
U+2A974	𪥴	huv
U+2A975	𪥵	vsmm
U+2A976	𪥶	vhql,vqjl
U+2A977	𪥷	oav
U+2A978	𪥸	phvnd
U+2A979	𪥹	vynh
U+2A97A	𪥺	ksmsv
U+2A97B	𪥻	vmjo
U+2A97C	𪥼	vjlv
U+2A97D	𪥽	vsmv
U+2A97E	𪥾	vmrl
U+2A97F	𪥿	vjnk
U+2A980	𪦀	vtys
U+2A981	𪦁	vhws
U+2A982	𪦂	vhbk
U+2A983	𪦃	viyr
U+2A984	𪦄	veli
U+2A985	𪦅	vvvw
U+2A986	𪦆	vrino
U+2A987	𪦇	vggi
U+2A988	𪦈	vsav
U+2A989	𪦉	vfuo
U+2A98A	𪦊	vrrs
U+2A98B	𪦋	vhje
U+2A98C	𪦌	viov,vmov
U+2A98D	𪦍	yvfmu
U+2A98E	𪦎	vyhh,vykh
U+2A98F	𪦏	vvfu
U+2A990	𪦐	vsrk
U+2A991	𪦑	slv
U+2A992	𪦒	vypk
U+2A993	𪦓	vbup
U+2A994	𪦔	voir
U+2A995	𪦕	vckn
U+2A996	𪦖	vybd
U+2A997	𪦗	vmbv
U+2A998	𪦘	vjsd
U+2A999	𪦙	vthi
U+2A99A	𪦚	vbck
U+2A99B	𪦛	vjck
U+2A99C	𪦜	veja
U+2A99D	𪦝	vydi,vydk
U+2A99E	𪦞	vsma
U+2A99F	𪦟	vndm,vndy
U+2A9A0	𪦠	sev
U+2A9A1	𪦡	vdbb
U+2A9A2	𪦢	vbc
U+2A9A3	𪦣	vohb
U+2A9A4	𪦤	vvff
U+2A9A5	𪦥	vfv
U+2A9A6	𪦦	vmbk
U+2A9A7	𪦧	vuqb
U+2A9A8	𪦨	vwli
U+2A9A9	𪦩	vufk
U+2A9AA	𪦪	vhws
U+2A9AB	𪦫	vanr
U+2A9AC	𪦬	vsec
U+2A9AD	𪦭	vjrf
U+2A9AE	𪦮	vwww
U+2A9AF	𪦯	vffi
U+2A9B0	𪦰	vmgr
U+2A9B1	𪦱	vffi
U+2A9B2	𪦲	virc
U+2A9B3	𪦳	vamb
U+2A9B4	𪦴	vhaa
U+2A9B5	𪦵	jcv,pcv,ppbcv
U+2A9B6	𪦶	ndje
U+2A9B7	𪦷	ndi
U+2A9B8	𪦸	ndyc
U+2A9B9	𪦹	ndyk
U+2A9BA	𪦺	ndha
U+2A9BB	𪦻	ornd
U+2A9BC	𪦼	ndhai,ndham
U+2A9BD	𪦽	hind,iind
U+2A9BE	𪦾	ndtmc
U+2A9BF	𪦿	ndoiv
U+2A9C0	𪧀	ndbov
U+2A9C1	𪧁	ndwlm,ndwlv
U+2A9C2	𪧂	swnd
U+2A9C3	𪧃	ydhjg
U+2A9C4	𪧄	ndhoi
U+2A9C5	𪧅	jmu
U+2A9C6	𪧆	jso
U+2A9C7	𪧇	jvlm
U+2A9C8	𪧈	jw
U+2A9C9	𪧉	johh
U+2A9CA	𪧊	jqr
U+2A9CB	𪧋	jniv
U+2A9CC	𪧌	jid
U+2A9CD	𪧍	jmuy
U+2A9CE	𪧎	jryo
U+2A9CF	𪧏	jwf
U+2A9D0	𪧐	joha
U+2A9D1	𪧑	jtcy
U+2A9D2	𪧒	johr
U+2A9D3	𪧓	jeha
U+2A9D4	𪧔	jtcs
U+2A9D5	𪧕	jgou
U+2A9D6	𪧖	jhaf
U+2A9D7	𪧗	jcow
U+2A9D8	𪧘	jfdv
U+2A9D9	𪧙	jeev
U+2A9DA	𪧚	jdjdi
U+2A9DB	𪧛	jkaf
U+2A9DC	𪧜	jgsk,jqsk
U+2A9DD	𪧝	jipf
U+2A9DE	𪧞	jhey
U+2A9DF	𪧟	jphb
U+2A9E0	𪧠	jphm
U+2A9E1	𪧡	jmjdi,jvjdi
U+2A9E2	𪧢	jggi,jggk
U+2A9E3	𪧣	jthe
U+2A9E4	𪧤	jhhk
U+2A9E5	𪧥	jifu,jmfu
U+2A9E6	𪧦	jtce
U+2A9E7	𪧧	jmgg
U+2A9E8	𪧨	jase
U+2A9E9	𪧩	jnmvv
U+2A9EA	𪧪	jsmw
U+2A9EB	𪧫	jksf
U+2A9EC	𪧬	jmwu
U+2A9ED	𪧭	jydl
U+2A9EE	𪧮	jnki
U+2A9EF	𪧯	jhbt
U+2A9F0	𪧰	jwkb
U+2A9F1	𪧱	jmgr,jygr
U+2A9F2	𪧲	jdde
U+2A9F3	𪧳	jdog
U+2A9F4	𪧴	jsmc
U+2A9F5	𪧵	jjdv
U+2A9F6	𪧶	jdwa
U+2A9F7	𪧷	nidi
