U+2BA5C	𫩜	rhlo,xrhlo
U+2BA5D	𫩝	rino,xrino
U+2BA5E	𫩞	irsm
U+2BA5F	𫩟	rmms
U+2BA60	𫩠	fbr
U+2BA61	𫩡	rlmp
U+2BA62	𫩢	rlk
U+2BA63	𫩣	lkr,xxlkr
U+2BA64	𫩤	rtc,xrtc
U+2BA65	𫩥	rla
U+2BA66	𫩦	rssb
U+2BA67	𫩧	oinr,omsr,xoinr,xomsr
U+2BA68	𫩨	nur
U+2BA69	𫩩	rnsm
U+2BA6A	𫩪	rtmm
U+2BA6B	𫩫	rmik,xxrmi
U+2BA6C	𫩬	qhr
U+2BA6D	𫩭	raj
U+2BA6E	𫩮	rlmi,xxrlm
U+2BA6F	𫩯	rusu
U+2BA70	𫩰	royj
U+2BA71	𫩱	rhgu
U+2BA72	𫩲	rhmr,xrhmr
U+2BA73	𫩳	rois,xrois
U+2BA74	𫩴	rnsd,xxrns
U+2BA75	𫩵	rifu,rmfu
U+2BA76	𫩶	iur,mur,xxmur
U+2BA77	𫩷	ryuk
U+2BA78	𫩸	ryks
U+2BA79	𫩹	rvif
U+2BA7A	𫩺	rsoy
U+2BA7B	𫩻	ksksr
U+2BA7C	𫩼	nsr
U+2BA7D	𫩽	rqyn
U+2BA7E	𫩾	rqhe,rqme,xrqhe,xxrqm
U+2BA7F	𫩿	rqno
U+2BA80	𫪀	rydi
U+2BA81	𫪁	rdt
U+2BA82	𫪂	rmth
U+2BA83	𫪃	rmbb,rmmb
U+2BA84	𫪄	rleg
U+2BA85	𫪅	radi
U+2BA86	𫪆	rlws
U+2BA87	𫪇	rumg,xrumg
U+2BA88	𫪈	rhvf
U+2BA89	𫪉	rcrc
U+2BA8A	𫪊	lklk
U+2BA8B	𫪋	hir
U+2BA8C	𫪌	rebn,rebu
U+2BA8D	𫪍	rep,xrep
U+2BA8E	𫪎	rpdk
U+2BA8F	𫪏	reph
U+2BA90	𫪐	rssr,xrssr
U+2BA91	𫪑	rndo
U+2BA92	𫪒	rdhe,rdme,xxrdh
U+2BA93	𫪓	rmwr
U+2BA94	𫪔	jrmnp
U+2BA95	𫪕	rshgu
U+2BA96	𫪖	rkcs
U+2BA97	𫪗	rmpm,xrmpm
U+2BA98	𫪘	rsko
U+2BA99	𫪙	qjr,xqjr
U+2BA9A	𫪚	rkql
U+2BA9B	𫪛	rsmv,xrsmv
U+2BA9C	𫪜	rton
U+2BA9D	𫪝	rtch
U+2BA9E	𫪞	rwlr
U+2BA9F	𫪟	rrkr
U+2BAA0	𫪠	rrbs
U+2BAA1	𫪡	rrbt
U+2BAA2	𫪢	rojv
U+2BAA3	𫪣	hrog
U+2BAA4	𫪤	rfqh
U+2BAA5	𫪥	ronn
U+2BAA6	𫪦	rokr
U+2BAA7	𫪧	rpyd
U+2BAA8	𫪨	rufmu
U+2BAA9	𫪩	rckb
U+2BAAA	𫪪	rhjo
U+2BAAB	𫪫	rckb,xrckb
U+2BAAC	𫪬	reoi,reol
U+2BAAD	𫪭	rihi,rihm,xrihi,xrihm
U+2BAAE	𫪮	ywrr
U+2BAAF	𫪯	rlb,xxrlb
U+2BAB0	𫪰	rvwy
U+2BAB1	𫪱	rmbv,xrmbv
U+2BAB2	𫪲	rsmb
U+2BAB3	𫪳	rkmb
U+2BAB4	𫪴	rmre,xrmre
U+2BAB5	𫪵	rqtc
U+2BAB6	𫪶	rqjn
U+2BAB7	𫪷	rqfd
U+2BAB8	𫪸	mrwc
U+2BAB9	𫪹	mtjr
U+2BABA	𫪺	rtjb
U+2BABB	𫪻	ruli
U+2BABC	𫪼	ryha
U+2BABD	𫪽	ropo
U+2BABE	𫪾	rtgi,rtqi,xxxrt
U+2BABF	𫪿	reoq
U+2BAC0	𫫀	rytr,xrytr
U+2BAC1	𫫁	rnoo
U+2BAC2	𫫂	rndo,xrndo
U+2BAC3	𫫃	rqik
U+2BAC4	𫫄	rqko,xrqko
U+2BAC5	𫫅	rln,xxrln
U+2BAC6	𫫆	rsql,xrsql
U+2BAC7	𫫇	rmcp
U+2BAC8	𫫈	yhomr
U+2BAC9	𫫉	rouo
U+2BACA	𫫊	roge
U+2BACB	𫫋	rbdd
U+2BACC	𫫌	yrshr
U+2BACD	𫫍	rjcu,xrjcu
U+2BACE	𫫎	ffkr
U+2BACF	𫫏	rfmo
U+2BAD0	𫫐	evr,xxevr
U+2BAD1	𫫑	rsyoj
U+2BAD2	𫫒	rlga
U+2BAD3	𫫓	rqir
U+2BAD4	𫫔	rqgy
U+2BAD5	𫫕	rdnq
U+2BAD6	𫫖	rmmp
U+2BAD7	𫫗	rmfc,xrmfc
U+2BAD8	𫫘	mrmfr
U+2BAD9	𫫙	rpko,xrpko
U+2BADA	𫫚	rtor
U+2BADB	𫫛	rtmw
U+2BADC	𫫜	rkhb
U+2BADD	𫫝	rhha
U+2BADE	𫫞	hroip
U+2BADF	𫫟	ryhs
U+2BAE0	𫫠	rjoa
U+2BAE1	𫫡	riku,xriku
U+2BAE2	𫫢	rlde
U+2BAE3	𫫣	ryvq
U+2BAE4	𫫤	rhrk,rirk
U+2BAE5	𫫥	rejf,xrejf
U+2BAE6	𫫦	rlsx
U+2BAE7	𫫧	rnsv
U+2BAE8	𫫨	rmgg
U+2BAE9	𫫩	rmgf
